,sample,feas,objective_function
0,"[ 233.83872122  -90.48007738 -929.10556173  -49.82863371 -569.67805274
 -971.88958121  797.61284527  500.29047834  578.4740809   836.14396422
  551.9801731   722.48912995  103.5658045  -232.04239397  182.86301332
  462.81231561 -103.0741423   919.12426532   66.88719788  992.4498334
  105.60446683  957.40142651  804.48131352  297.02320191  450.91117362
  392.35450747  565.42378585  552.12311959  599.45256503   35.04410577
  899.8748755   561.87937055  131.89865383  589.69388187  548.35816833
  595.44640528  970.07770904   76.16773136  449.82182181  806.60136887
  260.02742624  928.2874316     1.38424344  985.62089365  968.27956161
 -380.28761868  599.97092613  -79.99400557  979.47231868  352.00502003
  211.31744657   12.08708543 -967.02081029  299.73943762  901.62869893
  739.1048313   443.8245969   447.9685223  -721.04548085  951.06589226
  247.21638439  644.99530516  523.24684628  512.84115722  587.02601177
  904.45332972  162.12215925  504.01093098  346.11755198 -363.46701381
  604.64961503  935.06738106  471.26545937  922.93151302 -475.79374525
  407.58178982 -643.65422455 -635.36238836  724.8789125    15.97344207
  672.91369077  228.70251877  603.07641618 -520.69736488  331.48839464
  999.50088227   77.10019049  789.74164616  380.21170786  278.8458946
  764.49436341   27.02834237 -465.84544745  501.14894192  724.91838239]",0,
0,"[-814.51506512  554.70467202  997.24708596  608.54822158 -850.41075293
  938.49993947 -768.88880493  544.28156465 -566.9095235  -522.16105253
  314.66994161  670.45652587   76.55409617 -171.47740165  574.7897802
  737.2679864   -25.82086866 -782.95837077 -375.10481926  258.15535273
  774.7821119   138.63107736 -659.86533835   62.69140008  122.62276294
  440.31967409  866.83200927  855.65897306  905.01159372  841.45889987
 -944.0706755   557.5810023   568.65502653  777.14159411  582.9356795
  971.20435608 -332.8031025   421.32423757   46.83173442  958.93049158
  354.51328808  238.15025689  706.68492141  916.17788744  760.92294885
  -57.43278752   23.87819877  548.02183489 -507.24188779  580.28231382
  875.41437943  278.83204137  594.78127756  787.1865379   847.44792056
  312.08062446  839.33677002  458.48872569  232.82798511  319.1790271
  641.56084264   31.45117169  153.69274375 -651.70721588  311.27884839
   77.72584945  918.9419682   785.60253727  862.65242188  284.0612007
  186.94378913  885.9825408   311.27027303 -667.34173517  836.79230455
  996.90769069 -298.77465803 -178.17279612  786.36149314  265.03890357
  573.50353292   16.2250877   196.70360839 -749.47743648 -877.02231324
   22.20636579  488.38832818  214.79305323   15.0208648   841.80631018
  952.33730996   87.39105151  117.23018351  135.50528092  224.58383872]",0,
0,"[ 410.60260486  655.80892861  224.04606017 -958.25959978 -954.7429942
  551.93193528 -274.25697916  370.3697905  -766.06665967  624.92509126
  300.04813162  183.25105316  980.18943499  321.40718885  306.95950432
  526.49591598  728.98152064 -771.65710131  728.95381365   82.89157737
  866.80215327  707.75449352   83.1941361   933.34612797  227.47228894
  960.87071282  683.69682598  920.92609391  652.38609175   79.21866327
 -323.69997482  639.83649501  575.44781573  470.64832854 -189.40641784
 -987.48203936 -845.53700172  689.99711417  504.70872631 -435.06727196
  655.64240313  692.27155526  461.35397947  423.04978685  187.64926682
 -273.89986354  886.77351771 -106.22711501  760.23817897   78.95667224
  196.18951949  356.12879082  645.7153155    70.73576228  537.4413631
 -135.51069838  225.43660008  283.74114908   -2.63282754   42.22692254
  862.33615254  562.41760186  356.72696121 -730.49756252  364.86683325
  924.22715571   39.69309713   58.81183314 -397.19731642  617.86043929
  247.50310146  584.72036462  579.527246    -87.07731136 -725.22361647
  884.62589016   15.50137786 -709.82332644  790.91792022  696.59137587
  878.74074579 -509.88476312  353.01888761 -916.79261166  692.21630414
 -723.20262722  311.46383572  151.33615198  842.0744032   268.53403797
 -372.69710806  406.91402311  761.22536509 -828.3696649  -951.4958575 ]",0,
0,"[ 290.63985554  102.24533479  696.30072645  982.09758817 -982.17317088
  679.83633564   60.36457458  408.24441677  626.44604445 -239.80782274
  270.079698    405.26261746  573.12277018 -593.56808166  189.716046
  981.75725087 -242.35755922   32.82478945  171.91782829  116.88406518
  203.71856067  878.36912198 -641.83744937  756.75912111  777.69955138
  692.07246201  260.13367069  517.44799493  656.23284979  468.52171597
 -688.51122417   15.65332643  643.93315346  601.6852088  -164.82731234
  862.53634789  457.57410886  618.63823238  632.3159558  -453.04298327
  668.60535957  411.42103053  186.13045598  756.02307683  442.92578019
  766.17076517  457.41480784  204.92678942  313.3824892   899.5527421
  458.53577443  255.84095696 -128.19858018  690.49940331  522.88174638
   17.2417251   203.86764726  110.09497043 -172.4273982   733.48413424
  434.42518638   17.75571019  208.35834992  880.75488633   47.91346377
  811.9560006   913.12900646  502.9007219  -165.57466791  659.48266735
  412.28698403  482.14258712  629.0014059   257.46932067 -353.63889373
  313.59703776 -701.79617073  276.61375833  216.25014303  709.61447813
  952.9883476   375.85934715  930.97333969   19.268831   -250.29357151
   55.16159567  108.20094229  109.35076673  692.04519788  545.13542963
  802.68768313  221.17543648 -320.47158574  518.33150985 -314.4408283 ]",0,
0,"[ 272.82088412  397.67466312  414.74781276   68.87593824 -788.33275625
 -933.36662949   13.81800861  623.59126538 -127.3426424  -890.03608999
  580.43504448 -468.49941931  769.31899049  928.290447    785.13171779
  912.83083697  158.66766047 -364.30911633  151.22505717  445.8877301
  180.34331408  841.91151368 -187.09479008  304.27507898  412.19855897
  320.62531871  991.92857657  390.25918874  138.69340259  359.52136799
 -484.63520573  209.128093    793.49297149  699.32505291 -394.70165209
 -193.17794323  485.92049377  759.37639737  378.58806083  637.81802678
   21.41805513  913.93761752  592.11905515   57.59342327  739.37947344
 -101.82511805  444.78021481 -329.44102325 -937.14217423  117.15074958
  105.58639014  780.48799856 -424.17364524  924.69998506  142.00844324
  875.86803986  460.8179027   217.75681465 -980.42198539  940.6564806
 -587.35387105  604.60691906  589.61957101 -777.68116638  824.8379738
  782.8220512   644.29155776  132.54825455 -516.79873529 -411.75168803
  609.84105171  735.36027778  911.90108398 -396.74099401  -52.66084712
  220.86076292 -665.92301128 -443.17164839  905.66189348   98.08758601
  978.03188136 -661.37278661  937.92063699 -206.16095381  -78.83923243
  182.00056019  318.24289434  927.71091895  994.32679873 -217.02855795
 -710.53419516  615.76707291 -847.97923189  171.5855853  -318.42686275]",0,
0,"[-525.80072695  633.35686592  493.19117475  171.59433407  974.26209383
 -764.31331556 -162.07382923  387.70135536  155.289463    811.13726092
  342.16631219  954.72906783  731.52580331  440.55534404  760.47079866
  953.01511319 -995.32517749 -397.47430683 -475.76767983  482.87724842
  113.89147199  279.06789984  519.26063458  835.95386059  456.14634998
  610.68953633  519.02064988  102.33074901  531.59284225  160.31564456
  -44.15123627  805.36831718  842.79959725  297.66832838    2.75271675
  391.88456077 -202.24062186  909.33998546  474.28708946  746.35015708
  677.39563066  890.32267421  777.69295436  187.93062039  742.04949075
  394.49251427  216.69265589  792.59419545  921.12127159  123.40100118
  817.07337111   43.56561338  166.66211187  830.03760899  108.57138634
  124.75432149  853.58913386   30.309337     95.86743895  124.67596039
  986.62790061  599.2918645   261.76520997  701.01097298  265.08036971
   65.24592849  176.46070061   76.08386033  438.0829349   960.75696165
  332.56482756  119.08062874  766.49796427  267.37891728  316.04554163
  232.26111827  508.10354654  877.0995879    41.91131668  299.11205369
  890.35733783 -615.29511185  363.04111872  605.00095117  204.55896042
 -169.21556007  750.28141208  345.02259336  462.80964566 -128.67014231
 -753.33322173   81.75603595 -240.16385778 -650.29457999  433.18073007]",0,
0,"[ 214.02598624 -312.08008073 -803.12745249  507.49119707  893.00642528
   86.06629393  399.28826374  677.19489581  455.77550681 -488.15580435
  814.266309   -326.5897684   571.29253029 -239.68054658  333.25025231
  779.0055203   697.72756527   19.80958079  787.77113478  215.50853093
  321.38031667  544.61337077   35.08647733  218.62184986  619.68025078
  351.30886076  658.66936062  628.49119159  603.06813061   59.03304715
 -162.13690826 -273.55285434  654.59239341  598.54161739  221.96632962
 -832.59524023  411.71346168  534.18299356   50.3774363   -29.88460872
  174.74007517  761.5205404   889.37908479   15.53061009  365.44818721
  891.00462816  864.35825674  154.41130173 -236.00676325  169.10816463
  321.96702727   99.15908685  432.23195335  104.26162066  435.57318468
 -112.55485537  531.16799232  877.32484011  298.58326575  177.7595132
  901.0811724   381.04444375  884.61784857   53.80648958  116.7596786
  605.75109716  223.36098138  589.12286146  307.52562202 -116.51366086
  710.24169446  790.61872481  837.16257248 -745.26502332  586.16112315
  581.55966899  360.35733596  553.60898988   75.66922442  846.83550975
  773.39097477  621.84075774  290.03488551 -836.78458514  710.25035008
   56.69532845  862.84872476  210.05394595  136.84540206  408.50326921
 -734.39205257  133.54084555   66.02841684 -739.81430274 -993.34402344]",0,
0,"[ 635.76325211  147.01360295 -300.77371861  965.1806148    52.71189565
 -667.89139918 -864.51365627    3.48301765 -908.8272037    -5.69352306
  171.90607932  345.36838756  685.25595109   35.29136704  154.46358958
  186.859627   -757.83138352  380.2446325  -198.33768519   37.16244783
  192.80919858  228.45333596  239.56747477  318.16491023  867.3904298
   87.42872647  734.91698812  574.05032589  767.04622228  889.27476092
  515.19691224 -817.21328599  850.44198657  809.78424018  626.92665011
 -830.84017942  537.62298639  890.7088749    99.9144316  -813.0360415
  506.15192388   47.46101051  690.72482336  980.22485894  831.42664989
  342.09039155  520.17855188  849.00967906  725.22726459  551.46693988
  628.3807824   611.68927764  999.04079966  990.18608078  811.33430361
  380.49777495  239.74911816 -813.32428225    2.78614389  930.63100946
  618.2531543   530.34720715  962.25634525  500.47996049  462.37876643
  788.89257534  368.15937418  913.06495947  725.72547885 -923.83378168
  927.26491016  881.12471218  739.14905266 -954.83916398 -726.11381895
  308.05013525 -777.43226531  979.55973402  697.61131677  583.01844528
  796.42188762 -958.2638064   293.45864363  524.22043233 -128.45143937
 -450.24291045  957.03298694  190.54647358  834.64147475  183.85655732
  178.5827657   154.50964061 -563.59994059  -37.33459476  923.56910694]",0,
0,"[ 899.40304871 -572.34871526  274.44447543 -980.95584701 -973.99828692
 -976.06981021 -775.31336931  663.82772811  333.26061944   60.60700687
  131.810527   -170.87929731  785.69880569 -245.91716114  269.6853227
  171.51559455 -882.84940448 -807.46545397 -844.65612745  592.02227714
  277.73741245   63.02408999 -811.36068482  575.46199523  723.68010671
  473.57973253   44.65601123  387.54164428   38.48629854  231.44973568
  554.55307614   31.50181008  570.9058745    33.87287334 -180.24468143
  461.30068148 -515.06175697  462.46307242  975.68389128 -342.87415702
  465.42727048  920.61912637   48.96347494  970.59144984  303.19439078
   83.43899276  667.81576046 -670.97038052 -888.05149441  435.79399221
  475.96953383   24.44864623  616.96523662  836.53136858  828.96806644
 -859.24140948  564.8001384   677.74827399 -133.51995509  364.43305665
  245.48592834  466.94775654   43.56809625  678.83523619  909.46470606
  821.949174    447.43384572  703.38607061  412.95111529  414.92201589
  481.80641807  765.16277873  441.13016213  995.01884564  -61.48767844
  497.15685835 -655.89811963 -166.37780857   30.53909464  840.25396866
   78.44863808  852.146853     13.50308152  475.51384593 -777.85180363
  802.87956944  287.19195535  874.59498321  290.57561754  707.19152344
  678.91781203  321.17556216  406.18368552   55.16597765 -248.66665244]",0,
0,"[ -69.63080105  924.78152923 -755.39330781   25.37690644 -755.23072722
 -569.09622405  363.75563017   96.1361808  -235.97856182 -930.55630581
  353.50061822 -808.72981231  599.39305333  855.7643921   173.19397114
  786.30247004   60.18304735 -696.35251457   50.01928108  178.33926636
  592.16427293  162.24913478 -195.79221125  815.91046116  460.09613732
  418.55227295  307.36646219  264.56795682  666.00654377  462.9503057
  504.9817643    73.89109189  527.75427541    1.26450607 -904.81932137
  -41.42026538  330.30807659  461.13745112  495.87055566 -549.08113377
  646.03024484  120.63201267  976.60975482  816.784672    378.6315668
   18.36460217  775.82055255  814.57423812 -775.89038856  863.81338129
  835.65738348  368.69937617 -541.01954086  418.42941576  827.07780881
 -649.44570468  916.60790928 -472.95499315 -472.982617    489.83347961
  649.49563819  578.25405254  489.77010927  -49.24698898  668.55523921
  957.8077253   263.46413391  482.85593911  817.86073925  197.5646861
   79.81218945  446.62932961  757.37116388   33.92204393 -295.76732488
  373.18163495  608.78356063  771.00543968  796.89484399  222.95255215
  442.10116165  905.52748094  148.45254062 -859.6354795   454.53825134
    9.11262359  397.09928224  879.69504104  935.64926081  654.93963243
  623.85098342  134.15641954 -771.64845988  224.8761113  -249.62758438]",0,
