ID,name1,name2,grow,modelredWorked,taxid,taxname,species,SEEDId,speciesSynonym,HabitatPrimary,Temperature,Oxygen,Gram,Microbiome,GTDB_Phylum,GTDB_Class,GTDB_Order,NCBI_Phylum,NCBI_Class,NCBI_Order,GenomeSize,ProteinCount,Taxonomy,habID,MDID,GTDBID,hasHabitatPrimary,isFresh_water,isHost,isHuman,isMarine,isOther,isSoil,hasTemperature,isMesophile,isPsychrophile,isThermophile,hasOxygen,isAerobe,isAnaerobe,isFacultative,hasGram,isNegative,isPositive,hasTaxonomy,isActinobacteria,isAlphaproteobacteria,isAquificae,isBacteroidetes,isBetaproteobacteria,isChlamydiae,isChlorobi,isDeinococcus-Thermus,isDeltaproteobacteria,isEpsilonproteobacteria,isFirmicutes,isGammaproteobacteria,isSpirochaetes,isTenericutes
1,Seed100226,model1,TRUE,1,100226,Streptomyces coelicolor A3(2),Streptomyces coelicolor,100226.1,Streptomyces coelicolor A3(2),Soil,Mesophile,Aerobe,Positive,Negative,Actinobacteriota,Actinomycetia,Streptomycetales,Actinobacteria,Actinobacteria,Streptomycetales,8667664,7735,Actinobacteria,1207,372,RS_GCF_008931305.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Seed106370,model2,TRUE,0,106370,Frankia casuarinae,Frankia casuarinae,106370.11,"CECT 9043, DSM 45818, Frankia casuarinae Nouioui et al. 2016, Frankia casuarinae, Frankia sp. BR, Frankia sp. CcI3, Frankia sp. Cg70.9, Frankia sp. Thr, strain CcI3",Soil,Mesophile,Aerobe,,,Actinobacteriota,Actinomycetia,Mycobacteriales,Actinobacteria,Actinobacteria,Frankiales,5306294,4803,Actinobacteria,551,,RS_GCF_000611815.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Seed115711,model3,TRUE,1,115711,Chlamydophila pneumoniae AR39,Chlamydophila pneumoniae,115711.7,"Chlamydia pneumoniae AR39, Chlamydophila pneumoniae AR39",Host,Mesophile,,,,Chlamydiota,Chlamydiia,Chlamydiales,Chlamydiae,Chlamydiia,Chlamydiales,1229853,1057,Chlamydiae,320,,RS_GCF_000091085.2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,Seed122586,model4,TRUE,1,122586,Neisseria meningitidis MC58,Neisseria meningitidis,122586.1,"Neisseria meningitidis MC58, Neisseria meningitidis serogroup B strain MC58",Human,Mesophile,Aerobe,Negative,Positive,Proteobacteria,Gammaproteobacteria,Burkholderiales,Proteobacteria,Betaproteobacteria,Neisseriales,2272360,2107,Betaproteobacteria,840,7252,RS_GCF_000008805.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,Seed137722,model6,TRUE,1,137722,Azospirillum sp.B510,Azospirillum sp.B510,137722.3,"Azospirillum lipoferum B510, Azospirillum sp. B510",Soil,Mesophile,Facultative,,,Proteobacteria,Alphaproteobacteria,Azospirillales,Proteobacteria,Alphaproteobacteria,Rhodospirillales,7599738,6607,Alphaproteobacteria,88,,RS_GCF_000010725.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Seed1496,model7,TRUE,1,1496,Clostridioides difficile,Clostridioides difficile,1496.1,"AS 1.2184, ATCC 9689, Bacillus difficilis Hall and O'Toole 1935, Bacillus difficilis, BCRC 10642, CCRC 10642, CCRC:10642, CCUG 4938, CIP 104282, Clostridioides difficile (Hall and O'Toole 1935) Lawson et al. 2016, Clostridioides difficile, Clostridium difficile (Hall and O'Toole 1935) Prevot 1938 (Approved Lists 1980), Clostridium difficile, Clostridium difficle, Clostridium sp. HMSC19D05, DSM 1296, DSMZ 1296, JCM 1296, LMG 15861, LMG:15861, NCIMB 10666, NCTC 11209, Peptoclostridium difficile, Peptoclostridium difficile Yutin and Galperin 2013",Host,Mesophile,Anaerobe,Positive,Positive,Firmicutes_A,Clostridia,Peptostreptococcales,Firmicutes,Clostridia,Clostridiales,4146079,3893,Firmicutes,360,2227,GB_GCA_000935985.1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
8,Seed158879,model8,TRUE,1,158879,Staphylococcus aureus subsp.aureus N315,Staphylococcus aureus,158879.1,"Staphylococcus aureus (strain N315), Staphylococcus aureus subsp. aureus N315",Host,Mesophile,Facultative,Positive,Positive,Firmicutes,Bacilli,Staphylococcales,Firmicutes,Bacilli,Bacillales,2839469,2592,Firmicutes,1131,3705,RS_GCF_000009645.1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
9,Seed160490,model9,TRUE,1,160490,Streptococcus pyogenes M1 GAS,Streptococcus pyogenes,160490.1,"Streptococcus pyogenes ATCC 700294, Streptococcus pyogenes M1 GAS, Streptococcus pyogenes (serotype 1 / M1 GAS), Streptococcus pyogenes SF370, Streptococcus pyogenes strain SF370",Human,Mesophile,Facultative,,Positive,Firmicutes,Bacilli,Lactobacillales,Firmicutes,Bacilli,Lactobacillales,1852433,1776,Firmicutes,1180,6876,RS_GCF_000006785.2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,Seed160492,model10,TRUE,1,160492,Xylella fastidiosa 9a5c,Xylella fastidiosa,160492.1,Xylella fastidiosa 9a5c,Host,Mesophile,Aerobe,Negative,Negative,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Proteobacteria,Gammaproteobacteria,Xanthomonadales,2731750,2664,Gammaproteobacteria,1352,893,RS_GCF_000006725.1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11,Seed161544,model11,TRUE,1,161544,Bacillus sp.SG-1,Bacillus sp.SG-1,161544.4,Bacillus sp. SG-1,,,,,,Firmicutes,Bacilli,Bacillales_B,Firmicutes,Bacilli,Bacillales,3948965,4030,Firmicutes,,,RS_GCF_000181495.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
